STT,Câu Hỏi,Đáp Án Đúng,Đáp Án Sai 1,Đáp Án Sai 2,Đáp Án Sai 3
1,"“Dân chủ gắn liền với ...... xã hội phải được thực hiện trong thực tế cuộc sống trên tất cả các lĩnh vực chính trị, kinh tế, văn hoá, xã hội thông qua hoạt động của Nhà nước do nhân dân cử ra và bằng các hình thức dân chủ…….”",công bằng/ trực tiếp,bình đẳng/ gián tiếp,công bằng/ gián tiếp,bình đẳng/ trực tiếp
2,“Dân chủ là dân là chủ và dân làm chủ” là quan điểm của ai?,Hồ Chí Minh,V.I. Lênin,Ph.Ăngghen,C. Mác
3,"“Quyền lực thuộc về nhân dân, nhân dân tự tổ chức và thực hiện trước hết và chủ yếu là thông qua nhà nước của mình” là nội dung của khái niệm nào dưới đây?",Dân chủ,Tự do.,Hạnh phúc,Bình đẳng
4,“Thực hành dân chủ là cái chìa khoá vạn năng có thể giải quyết mọi khó khăn” là câu nói của ai?,Hồ Chí Minh,Mao Trạch Đông,Phạm Văn Đồng,V.I. Lênin
5,"“Trong toàn bộ hoạt động của mình, Đảng phải quán triệt tư tưởng…….., xây dựng và phát huy quyền làm chủ của nhân dân lao động”",lấy dân làm gốc,lấy dân làm chỗ dựa,lấy dân làm nền tảng,lấy dân làm đích
6,"Bản chất của nhà nước xã hội chủ nghĩa chịu sự quy định của cơ sở kinh tế xã hội chủ nghĩa, đó là gì?",quan hệ sở hữu xã hội về tư liệu sản xuất chủ yếu,quan hệ sở hữu tư nhân về tư liệu sản xuất chủ yếu,vừa quan hệ sở hữu tư nhân về quan hệ sở hữu xã hội về tư liệu sản xuất chủ yếu,chủ yếu là quan hệ sở hữu xã hội về tư liệu sản xuất
7,Các quy chế dân chủ từ cơ sở cho đến Trung ương và trong các tổ chức chính trị - xã hội đều được thực hiện phương châm gì?,"“dân biết, dân bàn, dân làm, dân kiểm tra”","“dân biết, dân tham gia, dân làm, dân kiểm tra”","“dân biết, dân làm, dân kiểm tra”","“dân bàn, dân tham gia, dân kiểm tra”"
8,"Căn cứ vào lĩnh vực tác động của quyền lực, nhà nước có chức năng nào dưới đây?","chức năng chính trị, kinh tế, văn hoá",chức năng đối nội và chức năng đối ngoại,chức năng lãnh đạo và chức năng giám sát,chức năng giai cấp và chức năng xã hội
9,"Căn cứ vào phạm vi tác động của quyền lực, nhà nước có chức năng nào dưới đây?",Chức năng đối nội và chức năng đối ngoại,Chức năng giai cấp và chức năng xã hội,Chức năng lãnh đạo và chức năng giám sát,Chức năng quản lí kinh tế và quản lí chính trị
10,"Căn cứ vào tính chất của quyền lực, nhà nước có chức năng nào dưới đây?",Chức năng giai cấp và chức năng xã hội,Chức năng đối nội và chức năng đối ngoại,Chức năng lãnh đạo và chức năng giám sát,Chức năng quản lí kinh tế và quản lí chính trị
11,Cơ sở kinh tế của nền dân chủ xã hội chủ nghĩa là gì?,chế độ công hữu về những tư liệu sản xuất chủ yếu của xã hội,nền kinh tế thị trường xã hội chủ nghĩa,chế độ sở hữu tư nhân về tư liệu sản xuất,nền kinh tế hàng hoá nhiều thành phần
12,Dân chủ xã hội chủ nghĩa là nền dân chủ do Đảng nào lãnh đạo?,Đảng của giai cấp công nhân lãnh đạo,Đảng cầm quyền lãnh đạo,Đảng của trí thức lãnh đạo,Đảng của nhân dân lãnh đạo
13,Dân chủ xã hội chủ nghĩa là nền dân chủ mang bản chất của giai cấp nào?,giai cấp công nhân.,giai cấp công nhân và giai cấp nông dân,giai cấp tư sản và giai cấp tiểu tư sản,giai cấp công nhân và đội ngũ trí thức
14,Đâu là khái niệm dân chủ theo quan niệm từ thời cổ đại?,quyền lực thuộc về nhân dân,quyền bình đẳng tuyệt đối của con người,quyền lực thuộc về thiểu số người trong xã hội,quyền tự do không giới hạn của mỗi người
15,"Điền từ ngữ thích hợp vào chỗ trống để hoàn thiện khẳng định của Đảng Cộng sản Việt Nam trong Cương lĩnh năm 1991: “Dân chủ đi đôi với……., kỉ cương phải được thể chế hóa bằng…….. và ……..bảo đảm”",kỉ luật/ pháp luật/ pháp luật,đảm bảo/ pháp luật/ pháp luật,đảm bảo/ hiến pháp/ hiến pháp,kỉ luật/ hiến pháp/ hiến pháp
