STT,Câu Hỏi,Đáp Án Đúng,Đáp Án Sai 1,Đáp Án Sai 2,Đáp Án Sai 3
16,Điền từ ngữ thích hợp vào chỗ trống để hoàn thiện nhận định trong tác phẩm Phê phán cương lĩnh Gôta:“Quyền không bao giờ có thể ở mức độ cao hơn chế độ...... và sự phát triển văn hoá của xã hội do chế độ...... đó quyết định”,kinh tế,xã hội,nhà nước,chính trị
17,"Điền từ ngữ thích hợp vào chỗ trống:“Dân chủ xã hội chủ nghĩa là nền dân chủ ...... so với nền dân chủ tư sản, là nền dân chủ mà ở đó mọi quyền lực thuộc về nhân dân, ....., dân chủ và pháp luật nằm trong sự thống nhất biện chứng, được thực hiện bằng ……., đặt dưới sự lãnh đạo của Đảng Cộng sản”",cao hơn về chất/ dân là chủ và dân làm chủ/ Nhà nước pháp quyền xã hội chủ nghĩa.,"cao nhất/ của dân, do dân, vì dân/ quyền lực nhà nước","tuyệt đối/căn bản, toàn diện/chủ trương, chính sách","tuyệt đối/ dân bàn, dân làm, dân kiểm tra/ Hiến pháp và pháp luật"
18,Định hướng nào dưới đây không phải là định hướng nhằm phát huy dân chủ xã hội chủ nghĩa ở Việt Nam?,Phát huy vai trò của các tổ chức chính trị – xã hội bằng cách tách các tổ chức này ra ngoài hệ thống chính trị nhằm tăng tính độc lập của các tổ chức,Hoàn thiện thể chế kinh tế thị trường định hướng xã hội chủ nghĩa tạo ra cơ sở kinh tế vững chắc,"Xây dựng Đảng Cộng sản Việt Nam trong sạch, vững mạnh với tư cách là điều kiện tiên quyết để xây dựng nền dân chủ xã hội chủ nghĩa","Xây dựng và từng bước hoàn thiện các hệ thống giám sát, phản biện xã hội, phát huy quyền làm chủ của nhân dân"
19,Hình thái kinh tế – xã hội nào dưới đây không có nền dân chủ?,Phong kiến,Chiếm hữu nô lệ,Cộng sản chủ nghĩa,Tư bản chủ nghĩa.
20,Khái niệm “dân chủ xã hội chủ nghĩa” đồng nghĩa với thuật ngữ nào dười đây?,Dân chủ vô sản,Dân chủ chủ nô,Dân chủ nguyên thủy,Dân chủ tư sản
21,"Mức độ, phạm vi tham gia thật sự của quần chúng nhân dân vào công việc quản lí nhà nước phản ánh ở phương diện nào?",trình độ phát triển của nền dân chủ,quá trình đấu tranh giành dân chủ,cấu trúc của nền dân chủ,sự ra đời của nền dân chủ
22,Mục tiêu nào dưới đây không phải là mục tiêu của Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam?,Kiểm soát chặt chẽ mọi mặt đời sống của nhân dân,Thực hiện đầy đủ các quyền làm chủ của nhân dân,Gắn bó mật thiết với nhân dân,"Phục vụ nhân dân, lắng nghe ý kiến của nhân dân"
23,Nền dân chủ nào dưới đây là nền dân chủ rộng rãi nhất trong lịch sử?,Cộng sản chủ nghĩa,Dân chủ chủ nô,Dân chủ cộng sản nguyên thuỷ,Dân chủ tư sản
24,"Nền dân chủ xã hội chủ nghĩa dựa trên hệ tư tưởng của giai cấp, tầng lớp nào sau đây?",Giai cấp công nhân,Giai cấp nông dân,Tầng lớp trí thức,Giai cấp tư sản
25,Nền dân chủ xã hội chủ nghĩa trên thế giới chính thức được xác lập gắn với sự kiện nào sau đây?,Cách mạng tháng Mười Nga (1917),Công xã Paris ra đời (1871),Cách mạng tháng Tám ở Việt Nam (1945),Cách mạng tháng Hai Nga (1917)
26,Nền dân chủ xuất hiện khi nào?,có nhà nước,có công cụ lao động,có nhà nước vô sản,có xã hội loài người
27,Nguyên nhân nào dưới đây dẫn tới sự xuất hiện của nhà nước?,Sự xuất hiện của chế độ tư hữu và phân chia giai cấp,Sự xuất hiện của chế độ phong kiến và phân chia giai cấp,Sự xuất hiện của chế độ xã hội chủ nghĩa và phân chia giai cấp,Sự xuất hiện chế độ tư bản chủ nghĩa và phân chia giai cấp
28,Nhà nước của giai cấp bóc lột thực hiện chức năng nào dưới đây là chủ yếu?,Chức năng bạo lực trấn áp,Chức năng đối ngoại,"Chức năng tổ chức, xây dựng",Chức năng đối nội
29,"Nhà nước pháp quyền xã hội chủ nghĩa Việt Nam được lãnh đạo bởi tổ chức, cơ quan nào dưới đây?",Đảng Cộng sản Việt Nam,Các tổ chức chính trị - xã hội,Quốc hội,Mặt trận Tổ quốc
30,Nhà nước tư sản mang bản chất của giai cấp nào?,tư sản,công nhân,địa chủ,chủ nô
